68416	68416
68420	68420
68423	68423
68430	68430
68431	68431
68434	68434
68455	68455
70485	70485
70490	70490
70546	70546
70614	70614
71674	71674
71675	71675
71679	71679
71685	71685
71686	71686
71687	71687
71692	71692
71699	71699
71702	71702
71705	71705
71708	71708
71709	71709
71710	71710
71711	71711
71712	71712
71720	71720
71724	71724
71726	71726
71728	71728
71745	71745
71748	71748
71751	71751
71756	71756
71758	71758
71759	71759
71769	71769
71773	71773
71776	71776
71780	71780
71782	71782
71784	71784
71785	71785
71793	71793
71794	71794
71798	71798
71803	71803
71804	71804
71806	71806
71814	71814
71832	71832
71833	71833
71835	71835
71839	71839
71847	71847
71848	71848
71850	71850
71852	71852
71855	71855
71865	71865
71871	71871
71880	71880
71881	71881
71884	71884
71885	71885
71892	71892
71901	71901
71910	71910
71912	71912
71916	71916
71924	71924
71933	71933
71938	71938
71939	71939
71940	71940
71941	71941
71949	71949
71950	71950
71954	71954
71955	71955
71960	71960
71961	71961
71962	71962
71963	71963
71972	71972
71973	71973
71976	71976
71981	71981
71983	71983
71984	71984
71991	71991
71992	71992
71995	71995
74458	74458
76351	76351
76655	76655
